# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	ra	dec
100062	99	99	99	99	99	99	76.96937004	-67.47208262
100073	99	99	99	99	99	99	76.96871722	-67.47181857
100134	99	99	99	99	99	99	76.96577509	-67.47194178
31197	24.331	23.703	22.895	0.008	0.023	0.006	76.95548203	-67.47246475
30729	24.099	23.636	22.836	0.007	0.023	0.035	76.95377628	-67.47250631
28134	23.495	23.013	22.321	0.014	0.02	0.014	76.94501229	-67.47291103
33302	24.486	23.888	23.146	0.071	0.057	0.008	76.96221223	-67.47187487
100556	99	99	99	99	99	99	76.95023792	-67.47255842
32072	22.824	22.383	21.721	0.016	0.009	0.012	76.95778536	-67.47208541
30930	22.718	22.234	21.672	0.051	0.006	0.026	76.95370515	-67.47231663
31368	24.626	24.076	23.232	0.054	0.014	0.055	76.9551746	-67.47222654
29856	19.948	18.951	17.807	0.012	0.009	0.012	76.95018053	-67.47250477
100015	99	99	99	99	99	99	76.97192037	-67.47118415
30224	23.831	23.292	22.556	0.024	0.02	0.003	76.95120375	-67.47237785
25900	21.888	21.455	20.827	0.005	0.003	0.004	76.93715285	-67.47318104
33487	22.786	22.256	21.525	0.005	0.008	0.011	76.96224863	-67.47169522
24969	22.015	21.679	21.204	0.012	0.01	0.016	76.93388539	-67.47330193
29041	24.317	23.665	22.894	0.162	0.023	0.015	76.94702524	-67.47254304
29010	21.048	20.799	20.403	0.017	0.015	0.012	76.94684304	-67.47252641
24864	23.933	23.373	22.666	0.042	0.008	0.014	76.93339925	-67.47328099
25330	20.101	19.275	18.289	0.009	0.009	0.017	76.93494889	-67.47318792
33280	23.346	22.85	22.148	0.017	0.009	0.01	76.96113907	-67.47164399
26755	22.376	21.998	21.449	0.025	0.003	0.014	76.93937015	-67.47289837
25554	21.347	20.983	20.48	0.012	0.011	0.004	76.93538808	-67.47309743
28215	21.958	21.638	21.225	0.01	0.022	0.013	76.94384127	-67.47255854
26102	20.856	20.616	20.253	0.012	0.021	0.02	76.9370405	-67.47294891
100068	99	99	99	99	99	99	76.96861576	-67.47111013
29076	18.785	17.674	16.371	0.003	0.045	0.006	76.94649709	-67.47238719
23151	23.565	23.08	22.422	0.04	0.033	0.026	76.92677324	-67.47350822
26930	22.657	22.239	21.695	0.012	0.014	0.011	76.93956983	-67.47277028
100124	99	99	99	99	99	99	76.96602434	-67.47122196
25351	19.784	19.699	19.606	0.004	0.006	0.009	76.93433682	-67.47302074
23314	22.728	22.306	21.732	0.042	0.024	0.011	76.92707689	-67.47341999
