# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
15855	20.671	20.339	19.915	0.005	0.017	0.03	5.999323011	158.0275712	455.1215448	76.87381877	-67.4703684
17260	20.058	19.201	18.166	0.004	0.016	0.013	6.174928339	213.5636208	614.3160614	76.88252462	-67.47026262
17243	22.05	21.698	21.206	0.021	0.004	0.021	4.251860428	441.9242988	1288.192888	76.87640029	-67.46887659
17789	21.51	21.223	20.784	0.008	0.025	0.015	4.599567562	390.544871	1135.707862	76.88236912	-67.46948562
18172	20.67	20.353	19.928	0.003	0.007	0.019	3.325709646	114.4060382	335.6084894	76.8845413	-67.46949483
18340	20.961	20.702	20.389	0.002	0.012	0.012	7.31119808	89.49000094	255.3844204	76.87953315	-67.46808977
18807	22.257	21.889	21.272	0.044	0.038	0.038	5.656894379	624.5771019	1803.067972	76.87231535	-67.46580933
18970	19.564	18.569	17.408	0.001	0.008	0.017	5.309375769	95.03749885	275.0207007	76.88923673	-67.46951938
18946	19.364	18.352	17.232	0.011	0.009	0.017	8.347506417	8.394014146	23.7806607	76.8909316	-67.46994805
18921	19.878	19.038	18.011	0.001	0.005	0.01	4.715120046	137.0400807	398.1970336	76.88936986	-67.46961574
19048	19.973	19.105	18.088	0.004	0.006	0.015	6.911518227	24.0324312	68.77528186	76.8727691	-67.46559751
19182	20.042	19.104	17.992	0.004	0.013	0.008	4.030989876	72.43090139	211.4533396	76.87530548	-67.46601261
19338	20.035	19.171	18.155	0.015	0.011	0.023	9.303968307	13.60626496	38.28694971	76.8821411	-67.46742204
19539	20.111	19.251	18.229	0.01	0.007	0.018	8.570289389	14.71651025	41.62703573	76.88475707	-67.46775816
19556	20.607	20.281	19.745	0.009	0.004	0.047	1.005511536	24782181994	73848170585	76.88706378	-67.46826912
19615	18.835	17.693	16.38	0.006	0.007	0.008	6.564946262	52.51965913	150.6632026	76.88738039	-67.46828234
19907	21	20.738	20.353	0.011	0.017	0.019	5.94520584	220.6166956	635.6178534	76.88555409	-67.46747267
19916	21.551	21.239	20.827	0.02	0.011	0.027	4.895282116	523.458736	1519.126644	76.87470685	-67.46494024
20143	21.821	21.512	21.062	0.004	0.007	0.046	2.275828492	532.3758633	1572.895667	76.87322624	-67.46431343
20304	20.089	19.232	18.222	0.008	0.006	0.013	7.558560926	12.16032869	34.64269436	76.89650462	-67.4695431
20457	19.243	18.22	17.026	0.002	0.01	0.003	5.437645807	95.79011489	276.9528903	76.87921842	-67.46532412
20698	19.849	18.979	17.948	0.006	0.008	0.012	7.513688724	13.23197385	37.70750289	76.89980253	-67.46981717
20878	20.05	19.199	18.179	0.016	0.017	0.024	2.572502625	14301106293	42167526209	76.88158732	-67.46538703
20866	21.639	21.337	20.926	0.019	0.011	0.016	3.133935917	290.7763436	854.1035424	76.87836145	-67.46464338
21012	21.349	21.066	20.678	0.009	0.019	0.019	4.941218343	286.6719612	831.6857084	76.88530645	-67.46608589
21146	22.019	21.735	21.268	0.005	0.018	0.009	8.866269556	129.8218313	366.4447868	76.87882928	-67.46443139
21122	19.897	18.925	17.807	0.009	0.006	0.015	5.720328939	129.0311704	372.3314964	76.89790695	-67.46888823
21256	20.023	19.149	18.122	0.013	0.008	0.016	7.021899717	22.02186193	62.97287967	76.87653414	-67.46377965
21220	20.765	20.549	20.263	0.001	0.003	0.021	4.095298989	187.6586933	547.6057109	76.8823732	-67.46517871
21397	18.693	17.511	16.131	0.007	0.024	0.012	9.233154686	8.505678753	23.94635131	76.87503637	-67.46327329
21456	19.976	19.12	18.099	0.012	0.002	0.014	6.862045299	44.69398065	127.9480996	76.87947587	-67.46424842
21553	21.98	21.55	20.981	0.028	0.005	0.018	5.612592832	219.6937816	634.4203099	76.87721822	-67.46362735
21558	19.082	17.958	16.691	0.003	0.012	0.006	5.111230042	133.5475098	386.9906885	76.8808868	-67.46447744
21672	22.048	21.39	20.444	0.028	0.027	0.005	9.82947716	60.7813439	170.3950551	76.89841194	-67.46843514
21657	18.892	17.727	16.404	0.004	0.011	0.005	8.172611997	16.78443282	47.60984533	76.90163014	-67.46920036
21817	19.833	18.885	17.754	0.004	0.008	0.006	8.344278246	20.55688173	58.23999837	76.89004239	-67.46633773
21921	21.535	21.248	20.832	0.008	0.013	0.02	0.667612744	20170393069	60241858978	76.89566301	-67.46752725
21916	18.58	17.232	15.72	0.006	0.009	0.014	6.26236954	22.286248	64.06744957	76.88341502	-67.46468478
22134	22.255	21.884	21.399	0.008	0.017	0.006	4.998137661	298.4603905	865.546249	76.87310369	-67.46206266
22087	22.044	21.64	21.075	0.005	0.012	0.022	6.109945448	395.9095953	1139.349065	76.89490439	-67.46719329
22126	21.233	20.977	20.61	0.028	0.018	0.011	8.646570462	212.5996849	601.0338916	76.88021265	-67.46372906
22514	21.914	21.535	20.99	0.011	0.008	0.016	4.669110079	357.5812962	1039.35216	76.89772661	-67.46738
22975	19.391	18.398	17.268	0.006	0.008	0.012	4.562307815	116.4391621	338.6928603	76.87993413	-67.46279785
23409	20.004	19.046	17.932	0.007	0.012	0.016	9.066911462	11.80195531	33.26572026	76.90808813	-67.46890701
23450	20.663	19.81	18.784	0.011	0.008	0.013	9.341943783	16.90271518	47.55006125	76.87918811	-67.46215068
23476	21.796	21.497	21.1	0.014	0.002	0.013	5.83073785	513.4935496	1480.599723	76.90167248	-67.4673433
23568	19.213	18.169	16.948	0.006	0.012	0.005	6.833272161	51.10507341	146.3309227	76.88920502	-67.46436002
23505	18.755	17.54	16.127	0.008	0.028	0.003	4.938092025	125.1982019	363.2298008	76.87492981	-67.46110268
23597	20.029	19.187	18.163	0.01	0.014	0.025	5.071729498	103.3461339	299.5555289	76.89346946	-67.46531627
23674	19.916	19.063	18.038	0.018	0.008	0.011	6.312209437	112.4485338	323.1496276	76.88950199	-67.4643045
23675	20.956	20.656	20.235	0.002	0.008	0.016	2.718312497	124.0902879	365.5245402	76.882578	-67.4626937
23645	20.888	20.594	20.193	0.002	0.009	0.007	8.799273638	67.73632558	191.2883675	76.88368956	-67.46298412
23759	20.136	19.136	18.128	0.002	0.012	0.007	3.948755021	188.7922126	551.4667537	76.89363513	-67.46516906
23902	19.105	17.968	16.639	0.009	0.012	0.035	4.861527927	142.8337376	414.6134086	76.88528405	-67.46309168
24056	21.046	20.77	20.389	0.003	0.012	0.011	7.739749929	66.1488626	188.2070747	76.88081933	-67.4618788
24048	20.105	19.257	18.239	0.007	0.01	0.017	5.23290908	110.3878434	319.6105391	76.88356389	-67.46252674
24144	19.511	18.56	17.453	0.004	0.012	0.005	7.52267584	31.45149972	89.62251041	76.90153694	-67.46660408
24140	19.79	18.824	17.668	0.017	0.008	0.021	7.371383606	44.18681361	126.0460818	76.89059308	-67.46406795
24395	21.991	21.551	20.963	0.013	0.041	0.027	2.284878055	307.6651742	908.9359746	76.89740595	-67.46540577
24495	19.124	18.073	16.878	0.01	0.006	0.013	6.215564931	84.18393776	242.0867986	76.90028711	-67.46597823
24580	20.028	19.181	18.155	0.009	0.007	0.015	4.236372986	99.23710541	289.3032084	76.89073102	-67.46365206
24511	21.782	21.415	20.881	0.012	0.023	0.012	5.753506955	267.1253688	770.6379531	76.87628504	-67.46037752
