# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
15451	20.037	19.204	18.204	0.015	0.007	0.019	13.86790291	16.4022669	44.6574998	76.86976036	-67.47009474
15958	20.455	20.084	19.543	0.012	0.021	0.005	103.3929732	9.865092936	9.865092936	76.87281848	-67.4699671
15429	20.617	20.314	19.885	0.014	0.014	0.012	98.26598499	30.22712857	31.27541447	76.87131204	-67.47049364
16100	21.971	21.646	21.163	0.005	0.022	0.018	88.75664926	38.84320254	47.57775754	76.87174282	-67.46950115
16358	17.992	16.306	14.115	0.011	0.011	0.031	16.83434185	7.387081086	19.67411029	76.87539745	-67.46991633
15906	20.918	20.567	20.17	0.011	0.031	0.025	45.30729388	10.95564185	22.93951585	76.87067818	-67.46955485
16598	20.759	20.49	20.091	0.007	0.018	0.018	135.1755222	11.68768025	11.68768025	76.8729755	-67.4690104
16497	21.905	21.52	20.929	0.012	0.012	0.016	39.56843996	27.80163372	61.40355566	76.87389306	-67.46939764
16525	20.891	20.655	20.261	0.005	0.025	0.011	41.8995708	16.65557288	36.00949153	76.87445482	-67.46947981
16914	21.538	21.252	20.866	0.011	0.016	0.02	58.79523515	23.77933253	43.37576864	76.87014717	-67.46790126
16874	21.219	20.925	20.587	0.022	0.026	0.116	92.51236415	17.6499867	20.29312016	76.87772092	-67.46973222
16689	20.186	19.903	19.51	0.019	0.005	0.015	97.0109839	14.68754504	15.56557121	76.86960972	-67.46808539
16953	19.396	18.326	17.137	0.007	0.009	0.013	14.86529656	6.012502313	16.24995434	76.87552675	-67.469092
16609	21.421	21.165	20.919	0.017	0.01	0.023	32.82968274	36.76713622	86.16034032	76.87333382	-67.4690733
16892	20.873	20.58	20.169	0.006	0.012	0.028	141.6326057	14.91387559	14.91387559	76.87503563	-67.46907263
17008	21.313	20.969	20.575	0.005	0.014	0.019	54.71277246	15.28250583	29.1245522	76.88005866	-67.47005933
17035	20.92	20.681	20.327	0.002	0.024	0.022	30.4693073	20.64563464	49.3557402	76.87710928	-67.46933026
17039	21.1	20.822	20.369	0.014	0.025	0.017	131.3938905	14.85474579	14.85474579	76.87661994	-67.46921203
17066	21.735	21.475	21.092	99	99	99	95.47313778	19.41199283	21.16950117	76.87203176	-67.46809725
17040	21.189	20.856	20.409	0.022	0.009	0.006	166.3368367	13.95449499	13.95449499	76.8715115	-67.46802315
17265	20.939	20.686	20.322	0.008	0.003	0.023	92.38307719	21.37263836	24.62851309	76.87572471	-67.46867226
16978	19.909	19.064	18.053	0.006	0.008	0.016	25.79432037	4.341850249	10.78564922	76.8740387	-67.46870963
17334	21.377	21.13	20.753	0.011	0.019	0.009	91.97885767	20.1877934	23.42637669	76.87859313	-67.46925072
17279	21.141	20.779	20.27	0.022	0.007	0.027	98.56303926	20.24387798	20.82567113	76.88183334	-67.47008078
17293	21.737	21.448	21.048	0.006	0.018	0.012	79.61803572	31.42786253	44.23909396	76.87035123	-67.46739565
17392	19.365	18.362	17.226	0.005	0.005	0.007	20.76299676	4.842454724	12.51648674	76.87967578	-67.46942472
17435	21.451	21.151	20.749	0.011	0.019	0.021	94.01408267	21.69318228	24.2902542	76.87439165	-67.46813276
17400	20.722	20.395	19.932	0.016	0.013	0.035	143.0291283	18.31176524	18.31176524	76.88265108	-67.47010021
17445	22.513	22.018	21.346	0.03	0.02	0.015	38.38586339	25.02946976	55.87285313	76.87371284	-67.46795875
17471	20.744	20.512	20.185	0.008	0.008	0.025	124.8451816	14.05475784	14.05475784	76.87616335	-67.46848265
17577	21.178	20.857	20.436	0.02	0.017	0.03	40.2475103	15.83498779	34.7585867	76.88231886	-67.46975922
17475	21.531	21.251	20.873	0.014	0.01	0.011	56.99116962	27.8607099	51.82584082	76.87736909	-67.46875883
17637	21.628	21.272	20.838	0.02	0.012	0.016	57.17983682	20.67283529	38.37711889	76.88017307	-67.46918313
17756	21.547	21.245	20.823	0.029	0.013	0.021	151.4924414	23.76512402	23.76512402	76.87204914	-67.46713219
17720	20.843	20.583	20.167	0.01	0.007	0.021	129.9336544	10.92670986	10.92670986	76.87571081	-67.46803598
17716	22.775	22.326	21.722	0.028	0.089	0.036	28.63441455	28.93260882	70.22846016	76.87783756	-67.46853558
17816	20.642	20.102	19.347	0.006	0.014	0.008	69.67873425	6.239686614	10.02359054	76.8821725	-67.46939534
17588	20.547	20.257	19.824	0.005	0.013	0.013	79.49226169	12.03145471	16.96621321	76.88195603	-67.46965733
17779	21.238	20.986	20.631	0.021	0.017	0.011	35.98577316	20.54134063	46.84010141	76.87435075	-67.4676326
17805	19.894	19.035	18.03	0.007	0.009	0.014	16.70755389	6.183463767	16.48418022	76.87280658	-67.4672303
17796	21.069	20.81	20.417	0.018	0.02	0.009	138.6033198	14.33625294	14.33625294	76.87528978	-67.46782341
17863	21.198	20.94	20.606	0.012	0.013	0.014	52.08325771	24.78497591	48.53728197	76.88511	-67.47001023
17780	20.472	20.191	19.788	0.004	0.02	0.011	50.85978781	11.25743722	22.32129429	76.87474827	-67.46772462
17895	21.569	21.289	20.865	0.012	0.016	0.042	35.91092747	24.1851562	55.18524081	76.87820868	-67.46836417
18048	19.178	18.136	16.935	0.007	0.003	0.011	32.59488779	13.27740755	31.17671046	76.88787686	-67.47041074
18112	21.105	20.905	20.52	0.054	0.025	0.045	20.22490583	71.40165903	185.3231405	76.88688681	-67.47010991
18063	19.795	18.813	17.684	0.012	0.015	0.018	16.34619599	5.520026326	14.75545033	76.87798342	-67.46809846
17910	19.889	18.929	17.794	0.018	0.011	0.023	11.937023	7.400820152	20.43558525	76.87913005	-67.46856086
18125	21.035	20.796	20.452	0.008	0.016	0.027	95.75060777	17.17299465	18.63249045	76.88541551	-67.46974814
18163	21.327	21.066	20.608	0.018	0.016	0.015	165.7457722	23.90419295	23.90419295	76.882172	-67.46895749
18127	20.09	19.273	18.255	0.009	0.011	0.013	12.43032886	8.516600732	23.43251924	76.88341582	-67.46928261
18046	19.652	18.636	17.493	0.006	0.004	0.015	15.28037579	7.34298647	19.78488756	76.87037154	-67.46633968
